playerName,agent
bang,"['viper', 'omen']"
johnqt,"['viper', 'cypher', 'killjoy']"
Zellsis,"['killjoy', 'kayo', 'brimstone']"
Sacy,"['fade', 'gekko', 'skye']"
N4RRATE,"['gekko', 'fade', 'raze']"
Kai,"['jett', 'cypher', 'killjoy']"
LuoK1ng,"['omen', 'viper', 'brimstone']"
FengF,"['sova', 'raze', 'cypher']"
heybay,"['kayo', 'breach', 'brimstone']"
Biank,"['fade', 'sova', 'skye']"
Haodong,"['omen', 'cypher', 'viper']"
AC,"['viper', 'omen', 'killjoy']"
Rb,"['fade', 'cypher', 'killjoy']"
LockM,"['viper', 'sova', 'skye']"
B1ack,"['breach', 'skye']"
RieNs,"['gekko', 'sova', 'breach']"
Wo0t,"['kayo', 'skye', 'reyna']"
benjyfishy,"['killjoy', 'cypher', 'viper']"
MiniBoo,"['neon', 'yoru', 'raze']"
Boo,"['omen', 'astra', 'viper']"
paTiTek,"['viper', 'kayo', 'brimstone']"
nAts,"['cypher', 'viper', 'killjoy']"
Keiko,"['raze', 'yoru', 'jett']"
kamo,"['yoru', 'raze', 'jett']"
Enzo,"['skye', 'sova', 'gekko']"
Mistic,"['omen', 'viper', 'harbor']"
primmie,"['clove', 'jett', 'iso']"
JitBoyS,"['viper', 'killjoy', 'cypher']"
Surf,"['killjoy', 'viper', 'cypher']"
ban,"['yoru', 'kayo', 'skye']"
Governor,"['neon', 'jett', 'raze']"
Crws,"['harbor', 'omen', 'astra']"
whzy,"['raze', 'jett', 'yoru']"
invy,"['kayo', 'viper', 'sage']"
2ge,"['omen', 'viper']"
Jremy,"['jett', 'raze', 'neon']"
BORKUM,"['viper', 'omen']"
Wild0reoo,"['killjoy', 'cypher', 'skye']"
JessieVash,"['sova', 'skye', 'breach']"
NDG,"['cypher', 'killjoy']"
coldfish,"['sova', 'viper', 'cypher']"
Eren,"['viper', 'reyna', 'sova']"
Scales,"['skye', 'breach', 'kayo']"
Ninebody,"['phoenix', 'raze', 'brimstone']"
ICEKING,"['cypher', 'kayo', 'skye']"
AAK,"['jett', 'cypher', 'raze']"
hfmi0dzjc9z7,"['sova', 'gekko', 'cypher']"
Abo,"['raze', 'jett', 'viper']"
trexx,"['viper', 'fade', 'astra']"
Sayf,"['viper', 'omen', 'kayo']"
Derke,"['raze', 'jett', 'yoru']"
Kicks,"['skye', 'sova', 'deadlock']"
runneR,"['raze', 'jett', 'yoru']"
ceNder,"['omen', 'viper', 'cypher']"
Lysoar,"['viper', 'cypher', 'omen']"
pl1xx,"['kayo', 'viper', 'yoru']"
Spring,"['jett', 'omen', 'raze']"
aluba,"['omen', 'killjoy', 'skye']"
Yuicaw,"['cypher', 'raze', 'yoru']"
SiuFatBB,"['breach', 'gekko', 'viper']"
QiuYe,"['killjoy', 'skye', 'harbor']"
MarT1n,"['killjoy', 'viper']"
jakee,"['brimstone', 'astra', 'omen']"
YOU,"['killjoy', 'sova', 'skye']"
florescent,"['raze', 'jett', 'reyna']"
LunaFox,"['skye', 'gekko', 'breach']"
KP,"['viper', 'jett', 'breach']"
may,"['viper', 'omen']"
flow3r,"['jett', 'reyna']"
dodonut,"['raze', 'jett', 'sage']"
Fall,"['fade', 'skye']"
danbi,"['clove', 'killjoy']"
BLOOM,"['omen', 'viper']"
tina,"['astra', 'clove']"
qrthur,"['omen', 'sova', 'viper']"
PowerPixele,"['viper', 'breach', 'kayo']"
L4CE,"['viper', 'sova', 'skye']"
unstable,"['skye', 'jett', 'chamber']"
StarBound,"['cypher', 'killjoy', 'viper']"
sarahcat,"['viper', 'sova', 'gekko']"
Snowy,"['jett', 'raze']"
jia,"['omen', 'raze']"
meL,"['omen', 'viper', 'brimstone']"
Yeji,"['skye', 'kayo', 'raze']"
Noia,"['cypher', 'killjoy', 'viper']"
misu,"['sova', 'fade', 'harbor']"
Bjorn,"['kayo', 'sova']"
melya,"['raze', 'jett', 'viper']"
Kamiunist,"['viper', 'fade', 'sova']"
alexis,"['skye', 'harbor', 'kayo']"
karie,"['killjoy', 'cypher', 'viper']"
edith,"['jett', 'raze', 'yoru']"
Kazler,"['omen', 'sova', 'astra']"
Jazzyk1ns,"['raze', 'cypher', 'killjoy']"
aluvily,"['brimstone', 'omen', 'gekko']"
lazylion,"['cypher', 'killjoy', 'sova']"
colby,"['breach', 'jett', 'omen']"
rayne,"['jett', 'breach']"
terror,"['chamber', 'sova', 'brimstone']"
ariola,"['skye', 'viper', 'gekko']"
emluo,"['omen', 'killjoy', 'viper']"
panini,"['clove', 'omen', 'viper']"
maryna,"['brimstone', 'astra', 'sova']"
Princessicy,"['viper', 'omen', 'killjoy']"
Karra,"['sova', 'omen', 'brimstone']"
Starlight,"['sova', 'brimstone', 'omen']"
AlexaIsHot,"['viper', 'brimstone']"
calsushi,"['gekko', 'sova', 'fade']"
souhm,"['raze', 'jett', 'breach']"
hayl,"['jett', 'raze']"
Nora,"['gekko', 'kayo', 'sage']"
Raven,"['viper', 'omen', 'astra']"
evv,"['kayo', 'skye', 'sova']"
lidyuh,['omen']
avery,"['gekko', 'breach', 'astra']"
sonder,"['skye', 'kayo', 'breach']"
mili,"['raze', 'jett', 'omen']"
Sythrine,"['jett', 'raze']"
Australis,"['kayo', 'fade', 'skye']"
Battison,"['gekko', 'sova', 'jett']"
jenn,"['sova', 'gekko']"
cbui,"['brimstone', 'omen', 'gekko']"
valusia,"['fade', 'breach']"
Slandy,"['breach', 'brimstone', 'omen']"
ximei,"['sova', 'viper', 'gekko']"
habibti,"['sova', 'chamber', 'skye']"
k1m,"['cypher', 'killjoy', 'sova']"
k0rupt,"['gekko', 'breach', 'fade']"
152,"['breach', 'kayo', 'raze']"
xann,"['jett', 'raze', 'reyna']"
korosu,"['cypher', 'killjoy', 'yoru']"
clara,"['brimstone', 'omen', 'astra']"
kim,"['skye', 'cypher']"
m1yu,"['viper', 'chamber', 'cypher']"
salor,['omen']
SUPERKAT,"['viper', 'sova', 'raze']"
maddie,"['killjoy', 'viper', 'astra']"
awpi,"['raze', 'jett', 'reyna']"
sillykitty53453,"['cypher', 'deadlock', 'killjoy']"
m0narcS,"['sova', 'omen', 'cypher']"
miyara,"['sova', 'breach', 'viper']"
Elab0rate,"['raze', 'killjoy', 'cypher']"
rise,"['kayo', 'breach', 'omen']"
marceline,"['yoru', 'raze', 'reyna']"
maple,"['jett', 'raze']"
cuteasa,"['reyna', 'deadlock', 'killjoy']"
jen,"['killjoy', 'cypher', 'viper']"
kray,"['omen', 'brimstone', 'viper']"
elfonshelf,['sova']
kr1sP,"['neon', 'raze']"
TeddyIsFluffy,"['reyna', 'brimstone', 'omen']"
array,"['skye', 'kayo', 'breach']"
JULIA,"['omen', 'viper', 'astra']"
rayne,"['raze', 'jett', 'yoru']"
leviaqt,"['kayo', 'breach']"
WIRE,"['yoru', 'raze', 'jett']"
ElyS,"['raze', 'jett']"
Pearl,"['raze', 'breach']"
gigi,"['sova', 'skye']"
sabooboo,"['kayo', 'skye', 'gekko']"
3DWN,"['cypher', 'killjoy']"
jcey,"['jett', 'raze', 'omen']"
aneXcks,"['jett', 'raze', 'neon']"
wiggles,"['viper', 'brimstone', 'jett']"
theia,"['omen', 'harbor', 'viper']"
panday,"['cypher', 'killjoy', 'fade']"
hesy,"['killjoy', 'cypher']"
Meeps,"['omen', 'breach']"
Haru,"['jett', 'yoru', 'reyna']"
Carlee,"['sova', 'viper']"
Zeukos,"['viper', 'omen']"
Akame,"['jett', 'raze']"
kora,"['jett', 'raze']"
isaa,"['killjoy', 'cypher']"
lover,"['jett', 'yoru', 'raze']"
odessaca,"['omen', 'harbor', 'viper']"
nanno,"['cypher', 'viper', 'chamber']"
ennui,"['raze', 'jett']"
aurelia,"['viper', 'killjoy', 'cypher']"
Waka,['jett']
E11ie,"['raze', 'jett', 'omen']"
seal,"['sova', 'deadlock', 'astra']"
Vea,"['omen', 'brimstone']"
Myneko,['raze']
Calvrix,"['cypher', 'killjoy', 'yoru']"
Evie,"['killjoy', 'cypher', 'sova']"
PreTaxMicrob,"['killjoy', 'gekko', 'breach']"
chip,"['omen', 'viper', 'yoru']"
Car,"['killjoy', 'cypher']"
Angel,"['gekko', 'skye', 'kayo']"
Logic,"['brimstone', 'omen', 'viper']"
Aniemal,"['killjoy', 'viper', 'cypher']"
sadeel,['omen']
rikka,"['omen', 'raze', 'clove']"
Esub9,"['skye', 'gekko']"
elysiu,"['killjoy', 'cypher']"
Pyro,"['viper', 'deadlock', 'fade']"
drea,"['yoru', 'raze', 'jett']"
freelilly,['killjoy']
trushi,"['cypher', 'killjoy']"
ketarys,"['killjoy', 'brimstone', 'viper']"
bunnybee,"['fade', 'jett', 'kayo']"
aria,"['kayo', 'omen', 'sage']"
svv,"['killjoy', 'cypher', 'deadlock']"
