playerName,team,rating,region,playerStatistics,agent,playerCategory
Snowy,38,1.12,Americas,"{'average_combat_score': '244.5', 'kill_deaths': '1.00', 'kill_assists_survived_traded': '68%', 'average_damage_per_round': '165.3', 'kills_per_round': '0.82', 'assists_per_round': '0.26', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.08', 'headshot_percentage': '30%', 'clutch_success_percentage': ''}","['jett', 'raze']",vct-game-changer
jia,43,1.11,Americas,"{'average_combat_score': '222.0', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '63%', 'average_damage_per_round': '144.0', 'kills_per_round': '0.77', 'assists_per_round': '0.40', 'first_kills_per_round': '0.16', 'first_deaths_per_round': '0.16', 'headshot_percentage': '20%', 'clutch_success_percentage': ''}","['omen', 'raze']",vct-game-changer
meL,SR,1.10,Americas,"{'average_combat_score': '208.7', 'kill_deaths': '1.12', 'kill_assists_survived_traded': '78%', 'average_damage_per_round': '132.2', 'kills_per_round': '0.71', 'assists_per_round': '0.46', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.09', 'headshot_percentage': '27%', 'clutch_success_percentage': '18%'}","['omen', 'viper', 'brimstone']",vct-game-changer
Yeji,SaD,1.09,Americas,"{'average_combat_score': '207.3', 'kill_deaths': '1.01', 'kill_assists_survived_traded': '66%', 'average_damage_per_round': '146.2', 'kills_per_round': '0.75', 'assists_per_round': '0.21', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '28%', 'clutch_success_percentage': '16%'}","['skye', 'kayo', 'raze']",vct-game-changer
Noia,SR,1.09,Americas,"{'average_combat_score': '205.1', 'kill_deaths': '1.19', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '137.7', 'kills_per_round': '0.72', 'assists_per_round': '0.23', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.08', 'headshot_percentage': '27%', 'clutch_success_percentage': '17%'}","['cypher', 'killjoy', 'viper']",vct-game-changer
misu,RF.GC,1.09,Americas,"{'average_combat_score': '206.4', 'kill_deaths': '1.07', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '136.5', 'kills_per_round': '0.72', 'assists_per_round': '0.35', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.07', 'headshot_percentage': '25%', 'clutch_success_percentage': '18%'}","['sova', 'fade', 'harbor']",vct-game-changer
Bjorn,80,1.09,Americas,"{'average_combat_score': '243.8', 'kill_deaths': '0.97', 'kill_assists_survived_traded': '66%', 'average_damage_per_round': '153.8', 'kills_per_round': '0.80', 'assists_per_round': '0.38', 'first_kills_per_round': '0.18', 'first_deaths_per_round': '0.13', 'headshot_percentage': '27%', 'clutch_success_percentage': '8%'}","['kayo', 'sova']",vct-game-changer
melya,Elat,1.08,Americas,"{'average_combat_score': '219.0', 'kill_deaths': '1.05', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '145.6', 'kills_per_round': '0.75', 'assists_per_round': '0.34', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.07', 'headshot_percentage': '27%', 'clutch_success_percentage': '14%'}","['raze', 'jett', 'viper']",vct-game-changer
Kamiunist,Thri,1.07,Americas,"{'average_combat_score': '221.4', 'kill_deaths': '1.05', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '147.8', 'kills_per_round': '0.78', 'assists_per_round': '0.28', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.09', 'headshot_percentage': '26%', 'clutch_success_percentage': '23%'}","['viper', 'fade', 'sova']",vct-game-changer
alexis,SR,1.07,Americas,"{'average_combat_score': '175.1', 'kill_deaths': '1.06', 'kill_assists_survived_traded': '78%', 'average_damage_per_round': '111.1', 'kills_per_round': '0.63', 'assists_per_round': '0.53', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.05', 'headshot_percentage': '31%', 'clutch_success_percentage': '20%'}","['skye', 'harbor', 'kayo']",vct-game-changer
karie,SNG,1.07,Americas,"{'average_combat_score': '217.7', 'kill_deaths': '1.10', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '145.1', 'kills_per_round': '0.79', 'assists_per_round': '0.22', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.06', 'headshot_percentage': '29%', 'clutch_success_percentage': '12%'}","['killjoy', 'cypher', 'viper']",vct-game-changer
edith,YFP,1.07,Americas,"{'average_combat_score': '228.7', 'kill_deaths': '1.14', 'kill_assists_survived_traded': '64%', 'average_damage_per_round': '149.5', 'kills_per_round': '0.81', 'assists_per_round': '0.14', 'first_kills_per_round': '0.16', 'first_deaths_per_round': '0.20', 'headshot_percentage': '27%', 'clutch_success_percentage': '15%'}","['jett', 'raze', 'yoru']",vct-game-changer
Kazler,RF.GC,1.06,Americas,"{'average_combat_score': '210.6', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '137.1', 'kills_per_round': '0.74', 'assists_per_round': '0.36', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.09', 'headshot_percentage': '30%', 'clutch_success_percentage': '29%'}","['omen', 'sova', 'astra']",vct-game-changer
Jazzyk1ns,PP,1.06,Americas,"{'average_combat_score': '217.2', 'kill_deaths': '1.10', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '147.2', 'kills_per_round': '0.74', 'assists_per_round': '0.23', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.13', 'headshot_percentage': '21%', 'clutch_success_percentage': '22%'}","['raze', 'cypher', 'killjoy']",vct-game-changer
aluvily,Sere,1.06,Americas,"{'average_combat_score': '213.6', 'kill_deaths': '1.06', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '144.1', 'kills_per_round': '0.78', 'assists_per_round': '0.21', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.09', 'headshot_percentage': '32%', 'clutch_success_percentage': '10%'}","['brimstone', 'omen', 'gekko']",vct-game-changer
lazylion,DSG,1.05,Americas,"{'average_combat_score': '211.3', 'kill_deaths': '1.11', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '140.5', 'kills_per_round': '0.74', 'assists_per_round': '0.26', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.09', 'headshot_percentage': '26%', 'clutch_success_percentage': '15%'}","['cypher', 'killjoy', 'sova']",vct-game-changer
colby,SaD,1.05,Americas,"{'average_combat_score': '206.7', 'kill_deaths': '1.08', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '124.2', 'kills_per_round': '0.76', 'assists_per_round': '0.42', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.05', 'headshot_percentage': '24%', 'clutch_success_percentage': '5%'}","['breach', 'jett', 'omen']",vct-game-changer
rayne,46,1.04,Americas,"{'average_combat_score': '230.0', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '161.9', 'kills_per_round': '0.83', 'assists_per_round': '0.22', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.13', 'headshot_percentage': '37%', 'clutch_success_percentage': ''}","['jett', 'breach']",vct-game-changer
terror,oomf,1.04,Americas,"{'average_combat_score': '216.2', 'kill_deaths': '1.02', 'kill_assists_survived_traded': '68%', 'average_damage_per_round': '140.8', 'kills_per_round': '0.73', 'assists_per_round': '0.27', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.10', 'headshot_percentage': '31%', 'clutch_success_percentage': '13%'}","['chamber', 'sova', 'brimstone']",vct-game-changer
