average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
171.3,0.78,,122.6,0.57,0.32,0.06,0.12,,
222.9,1.09,73%,147.5,0.78,0.22,0.17,0.15,26%,23%
180.0,0.91,72%,120.8,0.62,0.32,0.09,0.11,26%,20%
168.1,0.93,75%,107.7,0.61,0.37,0.07,0.07,29%,11%
182.8,0.93,71%,124.2,0.64,0.28,0.08,0.08,33%,14%
197.5,1.07,75%,126.1,0.70,0.35,0.08,0.08,34%,12%
181.3,1.13,75%,122.3,0.67,0.17,0.05,0.05,26%,15%
180.3,0.91,71%,117.5,0.62,0.42,0.07,0.11,23%,18%
167.6,0.84,68%,108.6,0.59,0.30,0.05,0.10,21%,12%
208.2,0.97,71%,141.9,0.72,0.18,0.18,0.17,35%,10%
207.8,1.12,69%,132.9,0.74,0.28,0.09,0.08,31%,11%
229.6,1.07,70%,150.4,0.79,0.24,0.15,0.14,26%,39%
181.7,0.98,68%,119.4,0.63,0.19,0.06,0.09,32%,4%
205.4,0.93,65%,135.3,0.71,0.23,0.16,0.18,22%,14%
153.4,0.84,69%,103.5,0.57,0.23,0.05,0.04,31%,8%
155.4,0.72,71%,103.8,0.52,0.42,0.05,0.07,23%,11%
206.4,1.05,69%,135.7,0.72,0.19,0.08,0.06,39%,6%
212.0,1.04,72%,139.4,0.77,0.33,0.13,0.12,22%,21%
191.8,1.01,74%,129.5,0.68,0.37,0.08,0.08,31%,20%
184.9,1.01,72%,125.7,0.66,0.21,0.07,0.06,33%,12%
215.3,1.00,71%,144.6,0.75,0.30,0.12,0.13,29%,8%
172.0,0.80,66%,116.3,0.60,0.29,0.10,0.12,33%,7%
228.3,1.01,,140.7,0.78,0.19,0.14,0.18,,
174.9,0.88,,109.4,0.61,0.36,0.04,0.08,,
115.5,0.40,,,0.33,0.16,,,,
164.9,0.76,,109.2,0.57,0.36,0.06,0.10,,
165.9,0.81,,,0.59,0.32,,,,
198.6,0.92,,123.4,0.67,0.34,0.08,0.13,,
191.7,0.94,,137.3,0.70,0.19,0.14,0.06,,
224.7,1.13,78%,143.6,0.77,0.45,0.09,0.07,27%,19%
206.1,1.01,76%,130.1,0.70,0.44,0.08,0.08,21%,16%
213.1,1.05,69%,139.7,0.75,0.18,0.14,0.15,26%,10%
175.3,0.99,73%,114.9,0.63,0.30,0.05,0.06,28%,16%
190.8,0.91,70%,124.4,0.66,0.30,0.07,0.10,27%,22%
158.1,0.71,64%,105.5,0.54,0.28,0.08,0.04,19%,12%
198.1,1.05,76%,132.7,0.70,0.38,0.06,0.06,29%,15%
219.6,1.12,73%,140.8,0.78,0.23,0.17,0.13,26%,12%
209.4,1.06,74%,136.6,0.74,0.37,0.09,0.11,30%,14%
224.0,1.07,74%,147.4,0.77,0.26,0.13,0.12,20%,15%
179.8,1.00,73%,118.2,0.65,0.32,0.05,0.06,34%,13%
227.5,1.22,76%,147.2,0.83,0.16,0.13,0.13,31%,20%
207.8,1.06,72%,135.2,0.74,0.24,0.08,0.08,31%,19%
208.6,1.01,68%,139.8,0.73,0.22,0.09,0.13,34%,19%
167.2,0.89,74%,109.5,0.58,0.42,0.05,0.07,29%,6%
198.5,0.88,70%,131.9,0.68,0.32,0.12,0.16,26%,17%
160.3,0.76,68%,108.0,0.55,0.31,0.07,0.11,27%,20%
168.7,0.82,67%,108.3,0.59,0.40,0.10,0.11,33%,11%
255.3,1.19,72%,163.9,0.88,0.22,0.22,0.18,24%,17%
212.2,1.09,76%,136.4,0.74,0.46,0.10,0.09,27%,13%
203.4,1.09,75%,129.7,0.71,0.31,0.10,0.09,32%,13%
182.0,1.08,76%,120.4,0.65,0.27,0.07,0.06,26%,18%
184.9,1.00,74%,120.1,0.64,0.38,0.06,0.08,19%,15%
182.4,0.92,73%,123.0,0.61,0.40,0.06,0.08,26%,14%
233.2,1.17,76%,153.9,0.81,0.33,0.12,0.08,26%,19%
211.4,1.09,70%,145.3,0.77,0.19,0.16,0.14,29%,4%
187.4,0.93,74%,119.5,0.66,0.34,0.06,0.06,33%,
222.7,1.07,67%,139.2,0.77,0.19,0.13,0.12,29%,15%
