average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
191.0,0.65,59%,122.2,0.59,0.07,0.07,0.14,15%,11%
180.3,0.74,57%,117.7,0.67,0.11,0.06,0.08,35%,
166.0,0.68,55%,117.7,0.57,0.22,0.04,0.16,26%,10%
218.5,0.83,66%,137.7,0.75,0.25,0.23,0.27,25%,25%
189.6,0.73,60%,125.5,0.64,0.16,0.10,0.22,23%,
138.0,0.56,63%,103.1,0.46,0.37,0.00,0.12,24%,
172.1,0.68,57%,112.6,0.58,0.22,0.10,0.14,26%,7%
149.5,0.65,58%,94.2,0.53,0.21,0.13,0.24,28%,
126.0,0.66,64%,92.0,0.49,0.23,0.03,0.11,38%,21%
174.3,0.66,59%,124.9,0.56,0.20,0.03,0.16,19%,7%
168.5,0.70,50%,123.9,0.61,0.13,0.05,0.21,19%,
166.5,0.65,58%,114.9,0.55,0.30,0.04,0.11,22%,12%
168.0,0.63,59%,112.2,0.55,0.21,0.16,0.19,25%,11%
206.0,0.73,53%,134.3,0.67,0.12,0.17,0.24,27%,14%
171.9,0.63,55%,115.6,0.54,0.23,0.10,0.13,25%,6%
175.0,0.69,68%,117.2,0.59,0.05,0.11,0.03,23%,8%
165.3,0.60,59%,123.6,0.54,0.19,0.09,0.11,23%,
159.0,0.69,67%,108.4,0.56,0.25,0.03,0.11,10%,
170.4,0.67,58%,124.4,0.58,0.17,0.05,0.10,26%,9%
146.8,0.55,58%,102.5,0.48,0.26,0.03,0.06,28%,8%
168.8,0.61,47%,104.5,0.56,0.24,0.07,0.07,24%,
165.0,0.65,60%,105.1,0.53,0.34,0.08,0.14,20%,
152.3,0.59,73%,105.4,0.50,0.47,0.07,0.15,16%,14%
182.5,0.70,61%,125.3,0.63,0.05,0.15,0.29,28%,
174.3,0.66,55%,117.8,0.58,0.12,0.09,0.11,25%,4%
155.0,0.70,64%,110.4,0.55,0.17,0.06,0.17,26%,7%
133.6,0.59,65%,85.7,0.46,0.33,0.02,0.06,18%,
161.0,0.72,53%,116.4,0.58,0.14,0.06,0.17,24%,17%
145.0,0.58,60%,96.0,0.50,0.23,0.07,0.10,19%,
131.4,0.55,64%,92.2,0.43,0.28,0.05,0.05,29%,21%
157.6,0.61,56%,110.4,0.56,0.20,0.05,0.12,38%,8%
168.8,0.70,60%,113.6,0.61,0.15,0.10,0.14,29%,6%
186.0,0.72,62%,126.5,0.62,0.18,0.06,0.09,22%,
141.3,0.57,57%,96.0,0.46,0.34,0.03,0.10,32%,2%
182.0,0.59,45%,123.9,0.61,0.06,0.06,0.06,29%,11%
147.3,0.67,64%,99.8,0.54,0.22,0.06,0.13,23%,4%
159.8,0.61,51%,105.0,0.51,0.11,0.05,0.15,25%,3%
145.3,0.55,63%,95.6,0.47,0.52,0.02,0.08,23%,
142.2,0.59,60%,100.4,0.48,0.21,0.03,0.12,20%,6%
147.6,0.62,63%,96.6,0.51,0.34,0.05,0.11,24%,12%
170.0,0.63,48%,105.6,0.58,0.12,0.18,0.18,38%,25%
165.8,0.65,57%,112.2,0.57,0.25,0.01,0.14,25%,13%
180.0,0.63,54%,116.3,0.58,0.27,0.09,0.19,27%,
176.0,0.63,55%,119.2,0.58,0.09,0.06,0.15,24%,14%
147.2,0.67,56%,107.5,0.52,0.20,0.03,0.13,31%,20%
123.2,0.55,63%,83.4,0.42,0.28,0.05,0.07,27%,10%
163.5,0.66,53%,109.9,0.53,0.17,0.05,0.11,18%,14%
166.0,0.62,50%,101.5,0.60,0.17,0.00,0.17,21%,14%
188.3,0.69,49%,120.3,0.64,0.10,0.16,0.24,22%,67%
153.5,0.61,68%,95.3,0.51,0.35,0.06,0.10,22%,
135.4,0.54,54%,95.6,0.47,0.29,0.03,0.12,24%,10%
114.5,0.53,56%,80.3,0.40,0.30,0.05,0.09,34%,40%
136.5,0.55,63%,87.9,0.44,0.35,0.01,0.10,15%,18%
125.0,0.46,48%,88.4,0.39,0.16,0.00,0.06,21%,
149.0,0.52,59%,89.1,0.48,0.22,0.04,0.00,24%,
140.0,0.52,45%,88.0,0.45,0.19,0.03,0.10,24%,
147.8,0.52,52%,108.0,0.48,0.19,0.04,0.07,29%,
156.5,0.54,52%,103.4,0.48,0.32,0.03,0.03,36%,
154.5,0.56,51%,111.0,0.51,0.14,0.08,0.05,27%,
147.0,0.61,63%,92.2,0.50,0.42,0.11,0.13,23%,
142.0,0.65,62%,99.6,0.52,0.14,0.05,0.10,39%,
140.3,0.56,54%,98.2,0.48,0.13,0.07,0.15,31%,
130.7,0.50,61%,89.4,0.42,0.30,0.04,0.08,23%,5%
142.0,0.56,56%,90.8,0.51,0.28,0.00,0.13,39%,
126.8,0.53,57%,87.5,0.45,0.27,0.03,0.12,27%,
121.0,0.48,61%,84.3,0.41,0.34,0.02,0.09,18%,7%
104.0,0.48,53%,73.9,0.38,0.16,0.00,0.06,15%,22%
147.8,0.57,53%,90.0,0.50,0.21,0.06,0.11,19%,
115.0,0.53,59%,86.2,0.41,0.29,0.00,0.08,17%,
136.8,0.50,59%,87.8,0.43,0.28,0.06,0.10,17%,8%
139.0,0.42,61%,92.5,0.39,0.58,0.06,0.06,21%,
116.1,0.46,54%,77.3,0.38,0.31,0.02,0.08,17%,10%
124.9,0.53,54%,85.2,0.45,0.25,0.05,0.13,19%,9%
132.5,0.53,71%,96.7,0.44,0.29,0.05,0.07,20%,
151.0,0.55,48%,107.3,0.52,0.13,0.06,0.19,26%,50%
104.5,0.45,58%,66.0,0.35,0.28,0.02,0.12,24%,
110.5,0.48,54%,64.6,0.41,0.27,0.00,0.08,35%,
143.0,0.52,57%,91.4,0.43,0.32,0.08,0.19,31%,
170.5,0.53,55%,118.1,0.52,0.23,0.23,0.10,26%,
154.5,0.49,63%,95.2,0.47,0.27,0.08,0.23,29%,
150.5,0.53,58%,103.2,0.48,0.18,0.24,0.33,20%,
136.0,0.56,50%,91.2,0.48,0.10,0.03,0.05,41%,
137.6,0.44,49%,94.0,0.40,0.25,0.02,0.10,20%,8%
123.8,0.48,56%,77.8,0.41,0.32,0.01,0.07,27%,18%
131.3,0.45,48%,91.5,0.41,0.16,0.03,0.15,28%,
112.5,0.43,52%,66.0,0.36,0.24,0.03,0.09,19%,
141.5,0.47,52%,101.2,0.45,0.23,0.07,0.17,25%,
129.5,0.44,51%,91.1,0.39,0.25,0.04,0.21,36%,17%
144.8,0.53,54%,88.0,0.47,0.12,0.06,0.16,21%,
129.0,0.50,49%,92.6,0.42,0.19,0.12,0.16,22%,67%
134.0,0.47,53%,91.2,0.39,0.11,0.05,0.16,8%,11%
171.5,0.55,62%,113.1,0.50,0.35,0.09,0.26,21%,
123.5,0.49,54%,83.4,0.43,0.19,0.01,0.09,31%,10%
115.5,0.32,50%,84.4,0.30,0.30,0.07,0.07,22%,
146.3,0.53,55%,100.2,0.48,0.17,0.15,0.24,28%,
124.3,0.48,48%,88.7,0.41,0.23,0.17,0.15,19%,11%
145.0,0.50,44%,84.9,0.48,0.07,0.04,0.19,18%,
149.5,0.48,51%,99.5,0.44,0.13,0.07,0.18,20%,
113.0,0.45,50%,87.2,0.37,0.16,0.03,0.13,18%,
121.0,0.41,48%,71.8,0.39,0.16,0.03,0.10,33%,
107.3,0.47,58%,72.3,0.40,0.17,0.02,0.09,22%,10%
135.3,0.51,58%,91.5,0.47,0.15,0.02,0.13,22%,22%
107.8,0.37,55%,75.7,0.32,0.33,0.04,0.13,15%,8%
127.0,0.43,46%,79.4,0.39,0.18,0.07,0.09,14%,7%
145.5,0.49,50%,101.2,0.47,0.18,0.02,0.13,19%,
143.5,0.56,48%,89.8,0.50,0.23,0.03,0.13,20%,
131.5,0.50,46%,101.0,0.43,0.18,0.08,0.25,13%,8%
136.0,0.48,52%,80.6,0.45,0.13,0.06,0.13,27%,
120.5,0.47,50%,84.4,0.37,0.13,0.00,0.03,17%,
129.4,0.41,55%,90.8,0.37,0.23,0.06,0.09,16%,6%
112.5,0.37,47%,88.6,0.31,0.36,0.03,0.17,32%,
128.3,0.52,53%,87.3,0.47,0.13,0.06,0.04,37%,
144.8,0.46,55%,101.4,0.43,0.30,0.06,0.18,16%,
102.0,0.36,39%,77.5,0.32,0.13,0.00,0.06,45%,7%
117.0,0.52,47%,71.1,0.43,0.13,0.00,0.17,19%,
146.0,0.59,44%,86.0,0.53,0.09,0.16,0.13,33%,
109.8,0.38,63%,66.4,0.31,0.51,0.04,0.08,13%,27%
153.0,0.53,49%,104.9,0.47,0.15,0.13,0.32,21%,
121.3,0.42,46%,91.9,0.36,0.19,0.03,0.15,34%,
101.0,0.45,42%,65.5,0.39,0.06,0.03,0.06,7%,
119.0,0.41,51%,86.9,0.37,0.17,0.06,0.10,18%,
139.0,0.44,50%,95.6,0.44,0.16,0.11,0.23,24%,
129.5,0.45,43%,94.9,0.41,0.19,0.03,0.14,32%,
116.5,0.45,46%,85.8,0.37,0.15,0.00,0.17,28%,
143.5,0.48,45%,88.4,0.48,0.14,0.03,0.28,33%,
121.5,0.45,63%,83.3,0.44,0.19,0.03,0.16,23%,
123.0,0.38,48%,88.2,0.37,0.11,0.00,0.19,21%,
90.5,0.32,48%,66.8,0.26,0.17,0.04,0.11,21%,
141.5,0.45,42%,87.9,0.45,0.13,0.16,0.19,32%,
133.5,0.39,43%,88.4,0.37,0.20,0.17,0.23,27%,
109.5,0.41,43%,70.3,0.37,0.24,0.08,0.11,23%,33%
104.5,0.38,49%,80.8,0.32,0.17,0.04,0.09,21%,
103.0,0.39,50%,81.4,0.30,0.25,0.00,0.10,18%,20%
109.5,0.35,45%,67.4,0.33,0.21,0.09,0.06,38%,
106.0,0.35,45%,74.2,0.33,0.24,0.06,0.12,16%,13%
121.7,0.40,43%,87.6,0.38,0.13,0.08,0.17,26%,7%
120.5,0.33,48%,85.4,0.32,0.26,0.03,0.19,28%,
90.0,0.33,58%,63.8,0.28,0.28,0.00,0.06,30%,
115.5,0.46,65%,74.5,0.38,0.12,0.06,0.12,17%,
121.0,0.37,29%,81.4,0.35,0.13,0.06,0.10,43%,
98.0,0.30,40%,66.6,0.27,0.13,0.07,0.20,21%,
104.5,0.32,54%,74.0,0.32,0.46,0.04,0.00,26%,
95.5,0.36,55%,66.4,0.32,0.06,0.16,0.13,24%,20%
109.3,0.38,52%,78.4,0.34,0.21,0.05,0.18,22%,8%
98.0,0.36,41%,59.4,0.33,0.15,0.00,0.26,20%,
96.5,0.38,37%,63.6,0.32,0.08,0.03,0.08,20%,
105.0,0.32,47%,77.8,0.30,0.20,0.03,0.07,21%,
131.5,0.39,52%,90.5,0.39,0.13,0.16,0.23,24%,
82.5,0.27,40%,50.9,0.23,0.14,0.03,0.06,17%,
111.5,0.33,35%,79.7,0.32,0.08,0.05,0.19,33%,
87.5,0.25,52%,56.0,0.24,0.28,0.00,0.14,14%,
89.5,0.27,43%,57.0,0.25,0.16,0.04,0.16,13%,7%
109.5,0.33,42%,77.6,0.34,0.11,0.08,0.21,18%,
103.5,0.30,37%,72.0,0.30,0.00,0.07,0.07,24%,
86.5,0.27,52%,57.8,0.24,0.18,0.00,0.09,18%,
92.5,0.29,36%,68.2,0.29,0.04,0.04,0.11,13%,
72.0,0.23,35%,45.6,0.23,0.10,0.10,0.06,26%,
57.0,0.12,30%,41.5,0.11,0.15,0.00,0.15,25%,
28.0,0.04,22%,24.3,0.04,0.15,0.00,0.30,12%,
234.5,1.52,83%,151.8,0.85,0.41,0.08,0.05,38%,21%
270.2,1.33,71%,179.1,1.02,0.23,0.13,0.06,33%,18%
238.5,1.28,72%,169.1,0.86,0.26,0.09,0.07,25%,
283.5,1.31,66%,191.6,0.98,0.21,0.23,0.13,24%,100%
233.6,1.21,77%,150.1,0.82,0.50,0.09,0.04,31%,17%
240.3,1.11,77%,161.9,0.82,0.38,0.08,0.13,19%,25%
283.5,1.11,63%,174.8,0.97,0.00,0.28,0.19,31%,
242.1,1.22,74%,158.4,0.86,0.19,0.15,0.13,21%,17%
232.3,1.26,71%,144.6,0.86,0.17,0.13,0.08,26%,40%
221.7,1.17,76%,140.2,0.78,0.43,0.09,0.06,27%,20%
219.0,1.12,65%,140.2,0.82,0.32,0.05,0.12,45%,38%
267.9,1.17,71%,172.2,0.93,0.18,0.23,0.19,27%,27%
260.3,1.29,74%,164.7,0.91,0.20,0.25,0.17,25%,22%
203.0,1.13,77%,137.0,0.71,0.33,0.07,0.05,26%,14%
216.6,1.14,72%,145.7,0.77,0.35,0.08,0.06,28%,20%
214.2,1.16,76%,143.6,0.77,0.24,0.08,0.07,30%,17%
189.2,1.21,78%,124.5,0.69,0.37,0.07,0.05,30%,13%
196.9,1.10,79%,128.7,0.68,0.54,0.08,0.06,21%,26%
215.0,1.18,65%,140.1,0.78,0.26,0.04,0.09,24%,10%
220.0,1.10,67%,149.6,0.81,0.26,0.12,0.10,30%,29%
213.5,1.15,76%,136.6,0.77,0.38,0.09,0.10,25%,31%
204.8,1.13,73%,131.8,0.74,0.34,0.06,0.08,36%,22%
210.5,1.00,72%,133.4,0.76,0.44,0.06,0.06,22%,22%
251.7,1.08,76%,155.9,0.80,0.30,0.10,0.11,47%,7%
235.7,1.21,68%,148.3,0.85,0.19,0.11,0.07,26%,10%
229.7,1.11,65%,155.1,0.82,0.17,0.16,0.16,32%,30%
228.2,1.04,74%,150.4,0.81,0.24,0.11,0.05,23%,27%
232.3,1.16,69%,151.7,0.84,0.14,0.16,0.14,36%,17%
237.3,1.19,73%,153.5,0.83,0.20,0.14,0.11,23%,18%
210.8,1.14,70%,141.6,0.77,0.15,0.07,0.07,26%,23%
203.2,1.15,73%,134.4,0.72,0.21,0.07,0.06,23%,20%
233.8,1.08,74%,147.7,0.83,0.37,0.11,0.10,39%,13%
200.3,1.05,78%,132.6,0.70,0.55,0.06,0.05,27%,18%
213.8,1.10,71%,145.0,0.75,0.24,0.08,0.10,23%,10%
200.9,1.07,74%,134.7,0.71,0.33,0.06,0.05,27%,19%
222.3,1.05,80%,141.0,0.80,0.34,0.05,0.07,27%,20%
214.2,1.10,68%,148.0,0.77,0.13,0.12,0.09,32%,10%
200.4,1.24,74%,135.4,0.75,0.23,0.08,0.06,33%,16%
215.8,1.11,69%,141.0,0.75,0.41,0.12,0.10,26%,30%
189.7,1.07,75%,125.6,0.67,0.50,0.04,0.06,28%,20%
226.4,1.11,68%,144.5,0.81,0.24,0.17,0.18,23%,20%
185.5,0.88,72%,128.9,0.60,0.52,0.06,0.04,25%,13%
210.2,1.13,74%,140.1,0.76,0.33,0.10,0.05,33%,12%
220.0,1.02,61%,139.3,0.76,0.10,0.06,0.08,43%,13%
246.3,1.13,65%,156.9,0.87,0.16,0.17,0.25,32%,33%
208.5,1.01,73%,136.4,0.72,0.31,0.06,0.05,26%,3%
237.0,1.14,70%,155.3,0.84,0.16,0.21,0.17,27%,17%
197.5,0.92,66%,134.4,0.68,0.40,0.07,0.05,27%,
250.4,1.01,66%,165.1,0.87,0.13,0.14,0.19,37%,9%
226.1,1.14,72%,147.8,0.81,0.16,0.17,0.15,33%,5%
243.8,1.04,71%,167.3,0.81,0.24,0.17,0.15,26%,
201.0,1.13,67%,133.5,0.75,0.14,0.11,0.13,36%,18%
188.5,1.05,77%,122.8,0.68,0.37,0.07,0.06,27%,17%
222.0,1.11,68%,146.3,0.81,0.14,0.16,0.18,31%,13%
214.5,0.87,72%,148.1,0.69,0.38,0.08,0.05,23%,13%
183.8,0.99,79%,118.3,0.66,0.51,0.07,0.06,29%,15%
221.8,1.02,66%,145.8,0.78,0.17,0.13,0.17,25%,5%
209.8,1.03,73%,140.0,0.75,0.38,0.08,0.08,39%,10%
199.5,1.08,75%,133.5,0.68,0.32,0.09,0.10,29%,17%
204.7,0.99,72%,129.5,0.71,0.48,0.09,0.10,27%,24%
204.7,1.07,70%,136.0,0.73,0.19,0.11,0.09,37%,19%
209.8,1.09,70%,139.1,0.74,0.19,0.12,0.12,27%,26%
220.6,1.02,71%,145.7,0.76,0.25,0.11,0.10,33%,22%
195.6,0.90,70%,130.3,0.66,0.38,0.08,0.02,25%,21%
199.3,0.98,71%,134.9,0.69,0.36,0.08,0.07,33%,12%
203.1,1.00,73%,134.6,0.72,0.37,0.10,0.09,34%,9%
206.5,0.81,52%,139.7,0.68,0.29,0.03,0.10,29%,
198.0,1.00,72%,150.5,0.72,0.26,0.12,0.12,24%,50%
226.0,1.00,60%,143.0,0.74,0.10,0.12,0.19,30%,14%
207.0,0.88,62%,139.2,0.67,0.33,0.10,0.05,17%,33%
187.0,1.02,66%,120.9,0.66,0.26,0.06,0.05,11%,26%
206.2,1.05,68%,138.3,0.75,0.16,0.09,0.07,34%,12%
222.5,1.01,76%,139.9,0.78,0.36,0.14,0.09,24%,6%
193.7,1.00,70%,133.8,0.70,0.24,0.08,0.07,31%,15%
192.5,0.81,59%,124.1,0.67,0.26,0.00,0.05,26%,13%
239.4,1.09,75%,150.7,0.86,0.17,0.21,0.15,23%,
206.0,0.82,55%,131.1,0.70,0.27,0.12,0.09,28%,20%
230.6,0.99,66%,148.8,0.81,0.20,0.16,0.17,24%,10%
215.0,1.02,73%,139.4,0.75,0.29,0.11,0.08,33%,15%
224.1,1.06,68%,146.5,0.80,0.14,0.22,0.20,33%,17%
219.5,0.97,72%,145.0,0.74,0.21,0.09,0.14,20%,
187.8,0.95,63%,130.4,0.71,0.11,0.09,0.09,30%,16%
188.3,1.05,70%,131.0,0.68,0.21,0.06,0.13,38%,20%
181.1,0.96,73%,114.3,0.65,0.38,0.07,0.04,22%,11%
214.1,1.03,71%,140.7,0.75,0.24,0.13,0.13,31%,17%
187.9,1.02,71%,122.9,0.68,0.32,0.06,0.09,29%,19%
213.7,1.00,69%,137.5,0.74,0.33,0.12,0.14,21%,18%
202.4,0.95,71%,127.5,0.70,0.19,0.11,0.11,18%,4%
230.5,1.02,73%,149.1,0.79,0.15,0.17,0.11,23%,5%
179.3,1.02,70%,111.4,0.68,0.08,0.13,0.06,22%,13%
190.9,0.95,73%,127.7,0.66,0.45,0.09,0.07,23%,17%
188.0,0.95,72%,124.8,0.65,0.36,0.03,0.04,24%,27%
219.4,0.97,68%,141.9,0.77,0.29,0.14,0.09,39%,6%
243.6,1.08,71%,152.5,0.87,0.24,0.25,0.29,13%,
191.6,0.92,71%,129.0,0.67,0.25,0.03,0.04,32%,12%
196.3,0.88,65%,140.9,0.66,0.21,0.06,0.11,28%,7%
198.5,1.00,69%,121.2,0.73,0.22,0.07,0.04,23%,25%
193.6,0.96,72%,124.0,0.69,0.31,0.08,0.09,35%,12%
222.1,1.02,67%,149.4,0.76,0.23,0.16,0.15,29%,9%
217.6,0.97,68%,143.6,0.74,0.23,0.15,0.18,26%,10%
193.6,0.94,67%,131.0,0.66,0.23,0.11,0.08,30%,17%
212.5,1.00,69%,148.1,0.81,0.28,0.03,0.11,30%,43%
205.5,0.96,69%,137.1,0.73,0.24,0.12,0.12,29%,14%
179.9,0.95,75%,114.7,0.64,0.44,0.06,0.07,32%,19%
202.9,0.94,71%,139.1,0.70,0.30,0.07,0.10,20%,24%
203.7,0.91,69%,142.3,0.71,0.21,0.08,0.08,36%,13%
224.0,0.82,57%,158.9,0.67,0.14,0.05,0.00,26%,
203.0,0.86,68%,139.4,0.70,0.27,0.08,0.07,27%,11%
222.3,0.87,67%,152.9,0.72,0.37,0.14,0.18,25%,6%
183.8,0.91,71%,123.2,0.65,0.31,0.04,0.05,29%,13%
183.8,0.98,71%,121.5,0.66,0.30,0.06,0.07,39%,19%
205.7,0.97,68%,135.7,0.73,0.22,0.15,0.15,26%,10%
237.5,0.96,53%,148.6,0.90,0.00,0.10,0.20,29%,
183.5,0.91,71%,122.5,0.63,0.37,0.06,0.07,33%,13%
163.7,0.84,59%,118.0,0.54,0.50,0.04,0.09,32%,
180.0,0.88,66%,119.8,0.65,0.32,0.08,0.05,26%,20%
169.5,0.87,60%,118.7,0.62,0.31,0.00,0.00,37%,
172.2,0.91,71%,116.9,0.62,0.36,0.04,0.06,29%,10%
202.7,0.92,72%,130.5,0.71,0.37,0.09,0.09,28%,23%
190.7,0.97,69%,130.5,0.69,0.18,0.10,0.07,31%,14%
194.0,0.78,67%,129.4,0.64,0.33,0.05,0.03,28%,22%
212.0,0.97,65%,142.7,0.74,0.17,0.16,0.18,29%,9%
199.1,0.96,66%,134.5,0.73,0.24,0.13,0.13,30%,20%
217.8,0.89,59%,154.8,0.75,0.23,0.11,0.15,29%,8%
222.8,0.87,70%,138.2,0.71,0.41,0.09,0.08,22%,10%
180.7,0.88,71%,117.9,0.61,0.35,0.09,0.08,27%,18%
178.9,0.90,68%,119.2,0.62,0.28,0.07,0.09,32%,9%
174.7,0.77,71%,114.4,0.56,0.54,0.05,0.10,22%,
173.5,0.79,71%,118.6,0.59,0.37,0.09,0.09,24%,12%
182.7,0.87,69%,126.4,0.64,0.24,0.10,0.06,27%,
182.5,0.96,79%,106.1,0.69,0.39,0.09,0.07,19%,
160.8,0.80,71%,106.6,0.59,0.44,0.04,0.07,30%,11%
173.4,0.81,73%,108.5,0.55,0.50,0.06,0.12,32%,55%
189.7,0.84,63%,128.5,0.67,0.46,0.16,0.13,26%,
215.1,0.97,68%,140.5,0.75,0.24,0.18,0.22,22%,11%
162.0,0.90,68%,118.1,0.60,0.19,0.02,0.04,29%,10%
213.1,0.93,63%,139.9,0.74,0.21,0.15,0.15,38%,15%
183.6,0.89,73%,121.6,0.63,0.31,0.08,0.08,22%,12%
204.4,0.92,63%,137.1,0.72,0.16,0.18,0.21,27%,22%
176.8,0.89,69%,121.0,0.62,0.28,0.08,0.07,26%,8%
158.9,0.81,73%,111.2,0.55,0.43,0.06,0.05,26%,11%
195.0,0.98,66%,127.6,0.71,0.21,0.07,0.11,22%,18%
209.4,0.89,67%,137.1,0.70,0.21,0.19,0.20,20%,14%
176.4,0.87,70%,118.6,0.62,0.30,0.06,0.05,34%,18%
170.9,0.88,75%,112.3,0.62,0.42,0.05,0.07,34%,13%
179.1,0.88,68%,122.7,0.62,0.26,0.07,0.10,26%,23%
187.0,0.80,74%,141.0,0.65,0.33,0.19,0.09,24%,
198.7,0.88,69%,134.5,0.74,0.37,0.04,0.13,31%,8%
175.1,0.89,67%,121.2,0.61,0.32,0.08,0.09,28%,14%
168.2,0.78,74%,114.1,0.57,0.57,0.03,0.07,33%,7%
167.0,0.82,73%,111.1,0.55,0.44,0.04,0.06,19%,16%
181.2,0.84,66%,128.2,0.64,0.21,0.10,0.09,26%,8%
215.6,0.95,68%,142.0,0.75,0.15,0.18,0.19,35%,18%
196.0,0.79,72%,129.4,0.67,0.13,0.15,0.13,28%,13%
162.3,0.80,71%,111.0,0.58,0.40,0.08,0.05,31%,19%
160.0,0.73,57%,117.8,0.57,0.36,0.07,0.05,27%,
206.3,0.75,59%,128.0,0.63,0.28,0.07,0.08,18%,18%
187.0,0.91,63%,122.5,0.67,0.20,0.05,0.08,28%,17%
184.0,0.83,61%,120.3,0.63,0.34,0.04,0.11,30%,17%
212.0,0.88,75%,141.3,0.70,0.35,0.15,0.10,27%,
170.9,0.83,72%,118.8,0.57,0.42,0.05,0.07,29%,6%
181.4,0.86,69%,119.8,0.64,0.28,0.09,0.10,37%,19%
181.0,0.77,63%,121.6,0.63,0.08,0.03,0.05,26%,11%
181.0,0.74,59%,112.5,0.63,0.22,0.03,0.09,24%,14%
230.3,0.91,62%,146.8,0.77,0.19,0.22,0.24,24%,21%
187.2,0.73,75%,117.4,0.62,0.53,0.07,0.11,25%,13%
151.5,0.75,69%,94.6,0.56,0.39,0.05,0.08,29%,
206.5,0.81,69%,135.4,0.63,0.26,0.18,0.15,20%,25%
176.5,0.76,62%,106.5,0.65,0.26,0.00,0.09,28%,25%
191.4,0.84,71%,130.1,0.65,0.25,0.06,0.08,22%,8%
171.0,0.83,71%,110.3,0.60,0.40,0.06,0.10,30%,11%
209.7,0.90,70%,133.2,0.70,0.27,0.16,0.14,29%,9%
184.0,0.87,65%,119.2,0.68,0.15,0.14,0.18,24%,30%
164.8,0.81,67%,111.4,0.57,0.42,0.06,0.10,26%,6%
166.0,0.84,73%,110.1,0.57,0.31,0.06,0.07,23%,19%
184.5,0.73,74%,108.6,0.56,0.51,0.03,0.03,39%,
158.2,0.82,73%,103.5,0.56,0.39,0.06,0.08,25%,27%
190.4,0.84,77%,118.8,0.66,0.36,0.08,0.06,16%,21%
218.5,0.79,63%,149.4,0.69,0.13,0.03,0.03,29%,
169.5,0.80,67%,114.1,0.60,0.18,0.06,0.06,29%,13%
175.5,0.77,62%,115.3,0.62,0.37,0.07,0.11,31%,24%
170.6,0.81,74%,112.7,0.61,0.38,0.06,0.07,26%,13%
212.6,0.84,68%,141.0,0.71,0.18,0.14,0.15,22%,14%
182.2,0.79,70%,119.4,0.61,0.22,0.11,0.08,21%,13%
169.4,0.77,69%,110.2,0.58,0.41,0.07,0.08,19%,7%
198.7,0.83,66%,134.7,0.67,0.15,0.15,0.17,29%,13%
181.3,0.83,66%,118.0,0.64,0.16,0.09,0.19,24%,14%
161.4,0.78,61%,107.2,0.57,0.19,0.04,0.07,25%,18%
185.1,0.83,65%,123.1,0.67,0.21,0.13,0.10,24%,9%
209.8,0.86,63%,140.1,0.75,0.10,0.19,0.14,35%,
162.1,0.75,62%,106.5,0.57,0.31,0.03,0.07,27%,10%
158.1,0.77,71%,99.8,0.54,0.44,0.06,0.11,33%,14%
183.6,0.83,68%,116.2,0.64,0.28,0.10,0.10,26%,11%
191.8,0.77,58%,122.9,0.67,0.14,0.07,0.07,34%,
187.0,0.87,65%,121.1,0.66,0.12,0.09,0.16,18%,17%
156.1,0.71,65%,102.7,0.55,0.38,0.05,0.04,27%,12%
201.0,0.72,59%,125.2,0.66,0.13,0.16,0.22,25%,
161.6,0.72,69%,111.8,0.54,0.45,0.05,0.08,27%,10%
185.5,0.78,58%,121.1,0.64,0.21,0.08,0.14,38%,15%
174.0,0.75,58%,121.2,0.58,0.11,0.00,0.08,33%,17%
222.0,0.74,61%,147.8,0.71,0.14,0.11,0.25,36%,
186.5,0.61,53%,131.3,0.59,0.26,0.06,0.03,32%,10%
181.1,0.85,68%,116.2,0.63,0.18,0.10,0.11,22%,13%
166.4,0.80,64%,113.8,0.59,0.23,0.08,0.10,36%,18%
163.0,0.78,65%,117.8,0.58,0.14,0.14,0.07,32%,
203.5,0.79,53%,130.1,0.72,0.17,0.14,0.06,26%,20%
181.3,0.80,62%,121.1,0.64,0.17,0.13,0.19,22%,12%
173.0,0.79,60%,118.7,0.61,0.23,0.11,0.08,24%,11%
173.1,0.81,62%,118.5,0.61,0.18,0.05,0.09,20%,7%
170.0,0.81,67%,109.9,0.63,0.31,0.01,0.13,25%,25%
177.0,0.79,64%,122.4,0.62,0.23,0.05,0.11,33%,
190.8,0.73,59%,131.0,0.63,0.26,0.08,0.17,38%,6%
147.1,0.75,63%,103.9,0.54,0.17,0.04,0.05,22%,17%
169.7,0.69,66%,112.2,0.55,0.29,0.08,0.09,16%,11%
164.6,0.76,71%,99.9,0.59,0.42,0.05,0.13,30%,9%
125.5,0.76,66%,76.9,0.46,0.30,0.01,0.04,19%,30%
174.4,0.75,68%,118.0,0.61,0.30,0.12,0.08,26%,5%
161.6,0.77,61%,107.3,0.60,0.22,0.06,0.13,32%,18%
167.5,0.66,62%,110.3,0.54,0.34,0.06,0.11,22%,17%
184.0,0.68,61%,122.5,0.53,0.42,0.00,0.14,33%,
170.3,0.75,63%,105.2,0.61,0.15,0.07,0.13,28%,4%
175.0,0.72,61%,117.8,0.61,0.21,0.11,0.03,22%,17%
143.3,0.68,69%,92.4,0.51,0.33,0.02,0.04,28%,
