playerName,team,rating,region,playerStatistics,agent,playerCategory
supamen,EG,1.00,Americas,"{'average_combat_score': '196.9', 'kill_deaths': '0.98', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '127.7', 'kills_per_round': '0.70', 'assists_per_round': '0.28', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.12', 'headshot_percentage': '39%', 'clutch_success_percentage': '17%'}","['omen', 'viper', 'clove']",vct-international
wippie,C9,0.99,Americas,"{'average_combat_score': '179.0', 'kill_deaths': '0.98', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '119.7', 'kills_per_round': '0.60', 'assists_per_round': '0.22', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '21%', 'clutch_success_percentage': '7%'}","['viper', 'killjoy']",vct-international
JonahP,G2,0.98,Americas,"{'average_combat_score': '189.9', 'kill_deaths': '0.94', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '121.8', 'kills_per_round': '0.66', 'assists_per_round': '0.38', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.09', 'headshot_percentage': '25%', 'clutch_success_percentage': '16%'}","['sova', 'kayo', 'breach']",vct-international
Sacy,SEN,0.98,Americas,"{'average_combat_score': '182.4', 'kill_deaths': '0.92', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '123.0', 'kills_per_round': '0.61', 'assists_per_round': '0.40', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.08', 'headshot_percentage': '26%', 'clutch_success_percentage': '14%'}","['fade', 'gekko', 'skye']",vct-international
Victor,NRG,0.97,Americas,"{'average_combat_score': '213.1', 'kill_deaths': '1.05', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '139.7', 'kills_per_round': '0.75', 'assists_per_round': '0.18', 'first_kills_per_round': '0.14', 'first_deaths_per_round': '0.15', 'headshot_percentage': '26%', 'clutch_success_percentage': '10%'}","['cypher', 'killjoy', 'raze']",vct-international
jawgemo,G2,0.97,Americas,"{'average_combat_score': '225.7', 'kill_deaths': '0.96', 'kill_assists_survived_traded': '66%', 'average_damage_per_round': '150.1', 'kills_per_round': '0.75', 'assists_per_round': '0.22', 'first_kills_per_round': '0.17', 'first_deaths_per_round': '0.14', 'headshot_percentage': '22%', 'clutch_success_percentage': '14%'}","['raze', 'deadlock', 'jett']",vct-international
Demon1,LEV,0.97,Americas,"{'average_combat_score': '208.2', 'kill_deaths': '0.97', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '141.9', 'kills_per_round': '0.72', 'assists_per_round': '0.18', 'first_kills_per_round': '0.18', 'first_deaths_per_round': '0.17', 'headshot_percentage': '35%', 'clutch_success_percentage': '10%'}","['jett', 'omen', 'raze']",vct-international
jakee,YFP,0.96,Americas,"{'average_combat_score': '170.7', 'kill_deaths': '0.88', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '113.4', 'kills_per_round': '0.60', 'assists_per_round': '0.39', 'first_kills_per_round': '0.04', 'first_deaths_per_round': '0.06', 'headshot_percentage': '28%', 'clutch_success_percentage': '14%'}","['brimstone', 'astra', 'omen']",vct-international
Xeppaa,C9,0.96,Americas,"{'average_combat_score': '187.8', 'kill_deaths': '0.87', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '125.2', 'kills_per_round': '0.63', 'assists_per_round': '0.45', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.09', 'headshot_percentage': '26%', 'clutch_success_percentage': '22%'}","['raze', 'skye', 'fade']",vct-international
crashies,NRG,0.96,Americas,"{'average_combat_score': '175.3', 'kill_deaths': '0.99', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '114.9', 'kills_per_round': '0.63', 'assists_per_round': '0.30', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.06', 'headshot_percentage': '28%', 'clutch_success_percentage': '16%'}","['sova', 'viper', 'breach']",vct-international
moose,C9,0.96,Americas,"{'average_combat_score': '172.2', 'kill_deaths': '0.98', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '117.9', 'kills_per_round': '0.62', 'assists_per_round': '0.15', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.06', 'headshot_percentage': '24%', 'clutch_success_percentage': '16%'}","['killjoy', 'cypher']",vct-international
NaturE,EG,0.95,Americas,"{'average_combat_score': '178.4', 'kill_deaths': '0.87', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '116.9', 'kills_per_round': '0.62', 'assists_per_round': '0.38', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.06', 'headshot_percentage': '32%', 'clutch_success_percentage': '13%'}","['breach', 'kayo', 'viper']",vct-international
runi,C9,0.94,Americas,"{'average_combat_score': '174.8', 'kill_deaths': '0.91', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '120.7', 'kills_per_round': '0.62', 'assists_per_round': '0.27', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.06', 'headshot_percentage': '34%', 'clutch_success_percentage': '12%'}","['sova', 'viper', 'breach']",vct-international
Marved,NRG,0.93,Americas,"{'average_combat_score': '190.8', 'kill_deaths': '0.91', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '124.4', 'kills_per_round': '0.66', 'assists_per_round': '0.30', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.10', 'headshot_percentage': '27%', 'clutch_success_percentage': '22%'}","['viper', 'omen', 'cypher']",vct-international
icy,G2,0.92,Americas,"{'average_combat_score': '192.0', 'kill_deaths': '0.92', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '129.0', 'kills_per_round': '0.68', 'assists_per_round': '0.21', 'first_kills_per_round': '0.14', 'first_deaths_per_round': '0.14', 'headshot_percentage': '25%', 'clutch_success_percentage': '14%'}","['yoru', 'gekko', 'raze']",vct-international
vanity,C9,0.90,Americas,"{'average_combat_score': '177.8', 'kill_deaths': '0.86', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '118.6', 'kills_per_round': '0.62', 'assists_per_round': '0.35', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.11', 'headshot_percentage': '22%', 'clutch_success_percentage': '14%'}","['skye', 'viper', 'gekko']",vct-international
Apoth,EG,0.87,Americas,"{'average_combat_score': '179.3', 'kill_deaths': '0.85', 'kill_assists_survived_traded': '62%', 'average_damage_per_round': '122.8', 'kills_per_round': '0.62', 'assists_per_round': '0.23', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.15', 'headshot_percentage': '35%', 'clutch_success_percentage': '18%'}","['cypher', 'killjoy', 'harbor']",vct-international
Boostio,100T,0.83,Americas,"{'average_combat_score': '179.1', 'kill_deaths': '0.86', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '121.9', 'kills_per_round': '0.63', 'assists_per_round': '0.23', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.12', 'headshot_percentage': '24%', 'clutch_success_percentage': '16%'}","['gekko', 'killjoy', 'omen']",vct-international
FiNESSE,NRG,0.76,Americas,"{'average_combat_score': '158.1', 'kill_deaths': '0.71', 'kill_assists_survived_traded': '64%', 'average_damage_per_round': '105.5', 'kills_per_round': '0.54', 'assists_per_round': '0.28', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.04', 'headshot_percentage': '19%', 'clutch_success_percentage': '12%'}","['cypher', 'deadlock', 'viper']",vct-international
Leo,FNC,1.19,EMEA,"{'average_combat_score': '204.6', 'kill_deaths': '1.26', 'kill_assists_survived_traded': '81%', 'average_damage_per_round': '135.6', 'kills_per_round': '0.73', 'assists_per_round': '0.36', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.03', 'headshot_percentage': '26%', 'clutch_success_percentage': '9%'}","['fade', 'sova', 'skye']",vct-international
trexx,VIT,1.16,EMEA,"{'average_combat_score': '219.6', 'kill_deaths': '1.12', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '146.1', 'kills_per_round': '0.75', 'assists_per_round': '0.43', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.08', 'headshot_percentage': '19%', 'clutch_success_percentage': '13%'}","['viper', 'fade', 'astra']",vct-international
N4RRATE,SEN,1.16,EMEA,"{'average_combat_score': '233.2', 'kill_deaths': '1.17', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '153.9', 'kills_per_round': '0.81', 'assists_per_round': '0.33', 'first_kills_per_round': '0.12', 'first_deaths_per_round': '0.08', 'headshot_percentage': '26%', 'clutch_success_percentage': '19%'}","['gekko', 'fade', 'raze']",vct-international
Chronicle,FNC,1.15,EMEA,"{'average_combat_score': '210.5', 'kill_deaths': '1.14', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '142.0', 'kills_per_round': '0.72', 'assists_per_round': '0.38', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.07', 'headshot_percentage': '24%', 'clutch_success_percentage': '20%'}","['viper', 'kayo', 'breach']",vct-international
Sayf,VIT,1.14,EMEA,"{'average_combat_score': '227.5', 'kill_deaths': '1.20', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '147.6', 'kills_per_round': '0.82', 'assists_per_round': '0.22', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.13', 'headshot_percentage': '28%', 'clutch_success_percentage': '14%'}","['viper', 'omen', 'kayo']",vct-international
Alfajer,FNC,1.10,EMEA,"{'average_combat_score': '218.3', 'kill_deaths': '1.17', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '146.1', 'kills_per_round': '0.78', 'assists_per_round': '0.21', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.10', 'headshot_percentage': '29%', 'clutch_success_percentage': '12%'}","['killjoy', 'cypher', 'viper']",vct-international
