playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent_1,agent_2,agent_3
SH0UTyy,dORA,0.85,EMEA,vct-challengers,173.8,0.80,69%,116.6,0.61,0.37,0.10,0.09,27%,11%,omen,,
sh1n,KC,0.94,EMEA,vct-international,168.1,0.93,75%,107.7,0.61,0.37,0.07,0.07,29%,11%,sage,omen,astra
sh1nodiii,29,1.00,Pacific,vct-challengers,250.0,0.85,69%,172.3,0.76,0.07,0.14,0.17,28%,40%,jett,,
sh1va,IW,0.98,EMEA,vct-challengers,181.8,0.96,67%,126.9,0.67,0.14,0.07,0.09,33%,15%,killjoy,viper,cypher
SH4WQ,AKU,0.86,EMEA,vct-challengers,175.3,0.70,68%,108.3,0.62,0.45,0.08,0.02,24%,20%,skye,breach,
ShadoW,KOI,0.86,EMEA,vct-international,167.6,0.84,68%,108.6,0.59,0.30,0.05,0.10,21%,12%,sova,fade,breach
Shadow,68,0.90,Pacific,vct-challengers,198.5,0.81,60%,127.9,0.68,0.24,0.04,0.21,37%,8%,brimstone,omen,
ShadowKnight,YDZ.I,0.89,Americas,vct-challengers,209.5,0.81,54%,132.8,0.71,0.23,0.14,0.26,31%,,sage,raze,
Shalaby,RAAD,0.58,EMEA,vct-challengers,178.8,0.61,68%,114.9,0.51,0.29,0.14,0.25,28%,,raze,phoenix,neon
Shalz,HGE,01.09,EMEA,vct-challengers,228.5,1.15,75%,155.0,0.83,0.22,0.08,0.10,29%,11%,skye,viper,cypher
Shalzyridzio,31,01.05,EMEA,vct-challengers,249.0,0.93,68%,148.2,0.81,0.16,0.10,0.10,38%,,astra,omen,
Shao,NAVI,01.04,EMEA,vct-international,191.8,01.01,74%,129.5,0.68,0.37,0.08,0.08,31%,20%,brimstone,omen,viper
Sharked,DK,01.02,Americas,vct-challengers,199.0,0.93,69%,134.7,0.71,0.19,0.08,0.08,30%,5%,cypher,killjoy,
Shaun,CKE,0.86,Pacific,vct-challengers,174.3,0.86,67%,116.0,0.65,0.16,0.08,0.08,24%,9%,sage,cypher,killjoy
Shawn,TMU.B,0.74,Americas,vct-challengers,176.0,0.69,61%,119.5,0.61,0.19,0.03,0.06,35%,,sova,cypher,
shay,29,0.77,Americas,vct-game-changer,191.0,0.65,59%,122.2,0.59,0.07,0.07,0.14,15%,11%,cypher,sova,
