playerName,team,rating,region,playerStatistics,agent,playerCategory
Android,40,1.20,Americas,"{'average_combat_score': '259.0', 'kill_deaths': '1.19', 'kill_assists_survived_traded': '60%', 'average_damage_per_round': '173.5', 'kills_per_round': '0.95', 'assists_per_round': '0.18', 'first_kills_per_round': '0.15', 'first_deaths_per_round': '0.05', 'headshot_percentage': '25%', 'clutch_success_percentage': '33%'}",['viper'],vct-challengers
Shondex,Blue,1.20,Americas,"{'average_combat_score': '232.5', 'kill_deaths': '1.52', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '151.2', 'kills_per_round': '0.91', 'assists_per_round': '0.22', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.09', 'headshot_percentage': '36%', 'clutch_success_percentage': ''}","['cypher', 'viper']",vct-challengers
nabil,RESO,1.19,Americas,"{'average_combat_score': '230.9', 'kill_deaths': '1.29', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '146.0', 'kills_per_round': '0.84', 'assists_per_round': '0.19', 'first_kills_per_round': '0.17', 'first_deaths_per_round': '0.05', 'headshot_percentage': '25%', 'clutch_success_percentage': '25%'}","['killjoy', 'cypher']",vct-challengers
v1c,C9,1.19,Americas,"{'average_combat_score': '225.7', 'kill_deaths': '1.27', 'kill_assists_survived_traded': '78%', 'average_damage_per_round': '146.0', 'kills_per_round': '0.79', 'assists_per_round': '0.36', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.06', 'headshot_percentage': '27%', 'clutch_success_percentage': '10%'}","['omen', 'cypher', 'brimstone']",vct-challengers
c4Lypso,TU,1.19,Americas,"{'average_combat_score': '239.8', 'kill_deaths': '1.23', 'kill_assists_survived_traded': '72%', 'average_damage_per_round': '154.9', 'kills_per_round': '0.86', 'assists_per_round': '0.29', 'first_kills_per_round': '0.12', 'first_deaths_per_round': '0.09', 'headshot_percentage': '33%', 'clutch_success_percentage': '14%'}","['omen', 'viper', 'chamber']",vct-challengers
Verno,NRG,1.18,Americas,"{'average_combat_score': '199.5', 'kill_deaths': '1.28', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '135.8', 'kills_per_round': '0.72', 'assists_per_round': '0.34', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.06', 'headshot_percentage': '29%', 'clutch_success_percentage': '18%'}","['killjoy', 'gekko', 'sova']",vct-challengers
XXiF,QOR,1.18,Americas,"{'average_combat_score': '219.4', 'kill_deaths': '1.27', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '148.8', 'kills_per_round': '0.78', 'assists_per_round': '0.22', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.06', 'headshot_percentage': '27%', 'clutch_success_percentage': '13%'}","['viper', 'killjoy', 'cypher']",vct-challengers
miniature,DTL,1.18,Americas,"{'average_combat_score': '253.0', 'kill_deaths': '1.14', 'kill_assists_survived_traded': '64%', 'average_damage_per_round': '168.1', 'kills_per_round': '0.82', 'assists_per_round': '0.21', 'first_kills_per_round': '0.23', 'first_deaths_per_round': '0.31', 'headshot_percentage': '23%', 'clutch_success_percentage': '29%'}","['raze', 'reyna']",vct-challengers
jeffie,ROSE,1.17,Americas,"{'average_combat_score': '221.2', 'kill_deaths': '1.16', 'kill_assists_survived_traded': '68%', 'average_damage_per_round': '152.2', 'kills_per_round': '0.76', 'assists_per_round': '0.28', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.07', 'headshot_percentage': '36%', 'clutch_success_percentage': '18%'}","['viper', 'cypher', 'killjoy']",vct-challengers
brawk,MxS,1.17,Americas,"{'average_combat_score': '205.3', 'kill_deaths': '1.21', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '135.5', 'kills_per_round': '0.73', 'assists_per_round': '0.34', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.05', 'headshot_percentage': '22%', 'clutch_success_percentage': '14%'}","['killjoy', 'skye', 'gekko']",vct-challengers
